case,method,tau,n,epochs,rep,n_train,n_val,data_seed,fit_seed,data_sha256,epochs_run,optimizer_updates,projection_1_epochs_run,projection_2_epochs_run,projection_1_seed,projection_2_seed,density_zero,last_epoch_train_loss,last_epoch_validation_loss,training_loss,theta_hat_1,theta_0_1,estimated_se_1,theta_error_1,root_n_train_error_1,T_1,ci_lower_1,ci_upper_1,covered_1,theta_hat_2,theta_0_2,estimated_se_2,theta_error_2,root_n_train_error_2,T_2,ci_lower_2,ci_upper_2,covered_2
3,DPLQR,0.5,500,200,1,400,100,50760905,51260905,07186b455866b49073d60cc9802ff5f48c8881aeb8da4aebf4cb26e3a7a6f9dd,200,800,200,200,51760905,51760906,0.8490932753841118,0.36507871001958847,0.7236263155937195,0.3580050505588038,0.5415707230567932,1.0,0.1919018969264508,-0.4584292769432068,-9.168585538864136,-2.3888730871634194,0.16544991651603197,0.9176915295975545,False,-0.4436948597431183,-1.0,0.16519324224965012,0.5563051402568817,11.126102805137634,3.3676022861525983,-0.767467665041833,-0.11992205444440363,False
3,DPLQR,0.5,500,200,2,400,100,50760906,51260906,0b662ac19523ed2889b3077c71c9d322b6c1ac2d4368d58f7509486b9ef32843,200,800,200,200,51760906,51760907,1.0530669110421627,0.3560994043946266,0.7496069073677063,0.3439162062006289,0.633302628993988,1.0,0.15097845487119732,-0.36669737100601196,-7.333947420120239,-2.4288059598891025,0.3373902950049354,0.9292149629830406,False,-0.6989424228668213,-1.0,0.12780028545221825,0.3010575771331787,6.021151542663574,2.3556878301788897,-0.9494263795671073,-0.4484584661665353,False
3,DPLQR,0.5,500,200,3,400,100,50760907,51260907,272be430285a9081050cf3428e716df06250ce566272b36a49c7319ae16c5c00,200,800,200,200,51760907,51760908,0.8907339854386749,0.3069379925727844,0.7773045301437378,0.33813513475437645,0.4707728624343872,1.0,0.16019494388161976,-0.5292271375656128,-10.584542751312256,-3.30364445182926,0.1567965419209974,0.7847491829477771,False,-0.5704231858253479,-1.0,0.23081262098809638,0.4295768141746521,8.591536283493042,1.8611495867758745,-1.0228076101393107,-0.1180387615113852,True
3,DPLQR,0.5,500,200,4,400,100,50760908,51260908,df31a25deed2ec21948f961dc569df7e2a4d86f11608629c6d72817da887528d,200,800,200,200,51760908,51760909,1.1018077803256294,0.41970354318618774,0.7518229484558105,0.35921636385949485,0.6916254758834839,1.0,0.16599624865135157,-0.3083745241165161,-6.167490482330322,-1.8577198377790285,0.3662788069580793,1.0169721448088884,True,-0.5209836959838867,-1.0,0.18206048965168412,0.4790163040161133,9.580326080322266,2.631083245643035,-0.8778156987089147,-0.16415169325885864,False
3,DPLQR,0.5,500,200,5,400,100,50760909,51260909,f5f113ffe37c6a66f157d5902d6d3eb886b0eceec7e63fa250f609c9bfca685b,200,800,200,200,51760909,51760910,0.9325859096851555,0.43874500691890717,0.7201151847839355,0.37969759951777915,0.9164921641349792,1.0,0.23546303684272313,-0.08350783586502075,-1.670156717300415,-0.3546536942050891,0.4549930922328141,1.3779912360371445,True,-0.4870426058769226,-1.0,0.2297257322840847,0.5129573941230774,10.259147882461548,2.2329122167678683,-0.937296767475819,-0.036788444278026244,False
3,DPLQR,0.5,500,200,6,400,100,50760910,51260910,956bf85b0f4610432ed7b33baa1747cd99ee08fe115f51a17472a33191cf9f1b,200,800,200,200,51760910,51760911,0.6274946282313377,0.29999246820807457,0.6955918669700623,0.33313834822805105,0.9621322154998779,1.0,0.264459128695135,-0.03786778450012207,-0.7573556900024414,-0.14318955328547406,0.4438018478745702,1.4804625831251856,True,-0.4498400092124939,-1.0,0.21956268975447052,0.5501599907875061,11.003199815750122,2.5057080116969384,-0.8801749734799976,-0.01950504494499017,False
3,DPLQR,0.5,500,200,7,400,100,50760911,51260911,9ecfa137ee26905330209ee5b860e4059da89bc34c22ebabd81abb9a738e5206,200,800,200,200,51760911,51760912,0.8339287136534792,0.4639348238706589,0.7053265571594238,0.38467513250785634,0.7239027619361877,1.0,0.1908048704842591,-0.27609723806381226,-5.521944761276245,-1.44701357655642,0.34993208771221035,1.0978734361601652,True,-0.7191164493560791,-1.0,0.2063187776124437,0.2808835506439209,5.617671012878418,1.3614056553375973,-1.1234938228107976,-0.3147390759013607,True
3,DPLQR,0.5,500,200,8,400,100,50760912,51260912,4e7013110c848a4e791c36483904d62cd0b05a46f5187d6837c5c0e9ef13024c,200,800,200,200,51760912,51760913,0.8696384560978421,0.3268960490822792,0.6222195625305176,0.32162621944766456,0.4011809229850769,1.0,0.18925925763303855,-0.5988190770149231,-11.976381540298462,-3.164014719829423,0.03023959428353401,0.7721222516866197,False,-0.7565796971321106,-1.0,0.20165188732970302,0.2434203028678894,4.868406057357788,1.2071312899238804,-1.1518101337128575,-0.36134926055136385,True
3,DPLQR,0.5,500,200,9,400,100,50760913,51260913,bfa707ba756b604bb7403a854c2e49eb7947700c48d8a71acfb7344535a0fcf1,200,800,200,200,51760913,51760914,0.9956763002569764,0.34283439815044403,0.7207984924316406,0.3166693334899764,0.8438100218772888,1.0,0.20380525474373629,-0.15618997812271118,-3.1237995624542236,-0.7663687490251597,0.4443590627195547,1.2432609810350228,True,-1.0938271284103394,-1.0,0.23800660647520516,-0.09382712841033936,-1.876542568206787,-0.3942206890803848,-1.560311505184339,-0.6273427516363397,True
3,DPLQR,0.5,500,200,10,400,100,50760914,51260914,daf4bda9b630ee6234bbcc97d3680cd6d153ff2f3c72a437ea0fee22d323a3a0,200,800,200,200,51760914,51760915,0.8455824666992221,0.36226918548345566,0.7338314652442932,0.35810058322213295,0.6775006651878357,1.0,0.20296760192013935,-0.3224993348121643,-6.449986696243286,-1.5889202599883725,0.27969147539589984,1.0753098549797715,True,-0.8232408165931702,-1.0,0.20892049089755949,0.17675918340682983,3.5351836681365967,0.8460595829898783,-1.232717454384815,-0.4137641788015254,True
